HGNC approved symbol;HGNC approved name;UniProt ID (human);Pfam domains;UniProt AC (mouse);UniProt ID (mouse);Function;Modification;Protein complex;Target molecule;Target entity;Product
PHF1;PHD finger protein 1;PHF1_HUMAN;Mtf2_C PF14061 525-566, PHD PF00628 89-142, Pfam-B_18040 PB018040 1-30, Pfam-B_24844 PB024844 331-384;Q9Z1B8;PHF1_MOUSE;Polycomb group (PcG) protein;#;PRC2;#;#;#
EYA4;EYA transcriptional coactivator and phosphatase 4;EYA4_HUMAN;Pfam-B_6035 PB006035 96-142;Q9Z191;EYA4_MOUSE;Histone modification erase;Histone phosphorylation;#;histone;H2AXY142ph;H2AXY142
PADI1;peptidyl arginine deiminase, type I;PADI1_HUMAN;PAD PF03068 276-663, PAD_M PF08527 115-273, PAD_N PF08526 1-113;Q9Z185;PADI1_MOUSE;Histone modification;Histone citrullination;#;histone;H2AR, H3R, H4R;H2ARci, H3Rci, H4Rci
PADI3;peptidyl arginine deiminase, type III;PADI3_HUMAN;PAD PF03068 278-664, PAD_M PF08527 115-273, PAD_N PF08526 1-113;Q9Z184;PADI3_MOUSE;Histone modification;Histone citrullination;#;histone;H2AR, H3R, H4R;H2ARci, H3Rci, H4Rci
PADI4;peptidyl arginine deiminase, type IV;PADI4_HUMAN;PAD PF03068 278-663, PAD_M PF08527 113-273, PAD_N PF08526 1-111;Q9Z183;PADI4_MOUSE;Histone modification;Histone citrullination;#;histone;H2AR, H3R2, H3R8, H3R17, H3R26, H4R;H2ARci, H3R2ci, H3R8ci, H3R17ci, H3R26ci, H4Rci
EHMT2;euchromatic histone-lysine N-methyltransferase 2;EHMT2_HUMAN;Ank PF00023 684-716 717-748 750-783 784-816 818-849 850-882, Pfam-B_9355 PB009355 34-359, Pre-SET PF05033 925-1030, SET PF00856 1049-1155;Q9Z148;EHMT2_MOUSE;Histone modification write;Histone methylation;#;histone;H3K9;H3K9me1, H3K9me2
GADD45G;growth arrest and DNA-damage-inducible, gamma;GA45G_HUMAN;Ribosomal_L7Ae PF01248 24-113;Q9Z111;GA45G_MOUSE;Chromatin remodeling;#;#;histone;H2A, H2B, H3, H4;#
HMG20B;high mobility group 20B;HM20B_HUMAN;HMG_box PF00505 70-138, Pfam-B_10576 PB010576 211-315;Q9Z104;HM20B_MOUSE;Chromatin remodeling;#;BHC, LSD-CoREST;DNA;#;#
ADNP;activity-dependent neuroprotector homeobox;ADNP_HUMAN;Homeobox PF00046 765-813, Pfam-B_10803 PB010803 691-762, Pfam-B_21724 PB021724 921-1100, Pfam-B_29916 PB029916 615-646;Q9Z103;ADNP_MOUSE;Chromatin remodeling cofactor;#;#;chromatin;#;#
GSG2;germ cell associated 2 (haspin);HASP_HUMAN;DUF3635 PF12330 708-797, Pfam-B_41097 PB041097 111-310, Pfam-B_49843 PB049843 1-109, Pkinase PF00069 484-699;Q9Z0R0;HASP_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H3T3;H3T3ph
SMARCB1;SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1;SNF5_HUMAN;Pfam-B_9879 PB009879 2-146, SNF5 PF04855 178-373;Q9Z0H3;SNF5_MOUSE;Histone modification read;#;BAF, nBAF, npBAF, PBAF, SWI/SNF_Brg1(I), SWI/SNF_Brg1(II), SWI/SNF_Brm, SWI/SNF-like_EPAFa, WINAC, SWI/SNF-like EPAFB, bBAF, SWI/SNF BRM-BRG1;histone;H3K56;#
AIRE;autoimmune regulator;AIRE_HUMAN;PHD PF00628 298-343, Pfam-B_9104 PB009104 481-543, SAND PF01342 189-249, Sp100 PF03172 1-106;Q9Z0E3;AIRE_MOUSE;Histone modification read, TF;#;#;histone, DNA;H3K4, H3K4me3, DNA motif;#
MSL3;male-specific lethal 3 homolog (Drosophila);MS3L1_HUMAN;MRG PF05712 136-504, Tudor-knot PF11717 11-74;Q9WVG9;MS3L1_MOUSE;Histone modification read;#;#;histone;H4K20me1;#
CARM1;coactivator-associated arginine methyltransferase 1;CARM1_HUMAN;CARM1 PF11531 26-139, PRMT5 PF05185 143-446, Pfam-B_10255 PB010255 449-469, Pfam-B_13059 PB013059 511-606;Q9WVG6;CARM1_MOUSE;Histone modification write;Histone methylation;#;histone;H3R17;H3R17me, H3R17me2a
AICDA;activation-induced cytidine deaminase;AICDA_HUMAN;APOBEC_N PF08210 11-181;Q9WVE0;AICDA_MOUSE;DNA modification;DNA demethylation;APOB_mRNA_editosome;DNA;ssDNA, hmC;hmU
TLE2;transducin-like enhancer of split 2;TLE2_HUMAN;TLE_N PF03920 1-132, WD40 PF00400 450-484 538-575 579-617 661-699 709-740;Q9WVB2;TLE2_MOUSE;Histone modification cofactor;#;#;histone;H3;H3K4, H3K9, H3K27me
NOC2L;nucleolar complex associated 2 homolog (S. cerevisiae);NOC2L_HUMAN;Noc2 PF03715 325-623, Pfam-B_22168 PB022168 62-101, Pfam-B_2429 PB002429 644-713, Pfam-B_50064 PB050064 1-31;Q9WV70;NOC2L_MOUSE;Chromatin remodeling, TF;TF repressor;#;histone;H3;#
APOBEC2;apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 2;ABEC2_HUMAN;APOBEC_C PF05240 159-216, Pfam-B_38491 PB038491 1-39;Q9WV35;ABEC2_MOUSE;DNA modification, RNA modification;DNA demethylation, mRNA editing;#;DNA, RNA;ssDNA, mRNA, mC;hmU
UCHL5;ubiquitin carboxyl-terminal hydrolase L5;UCHL5_HUMAN;Peptidase_C12 PF01088 7-211;Q9WUP7;UCHL5_MOUSE;Histone modification erase cofactor;Histone ubiquitination;Ino80;histone;#;#
NCOR2;nuclear receptor corepressor 2;NCOR2_HUMAN;Myb_DNA-binding PF00249 612-657, Pfam-B_1539 PB001539 271-430;Q9WU42;NCOR2_MOUSE;Histone modification erase cofactor;Histone acetylation;#;#;#;#
CUL1;cullin 1;CUL1_HUMAN;Cullin PF00888 21-707, Cullin_Nedd8 PF10557 703-770;Q9WTX6;CUL1_MOUSE;Chromatin remodeling cofactor;#;#;histone;H3K9me3, H3K36me3, H1.4K26me3;H3K9, H3K36, H1.4K26
SKP1;S-phase kinase-associated protein 1;SKP1_HUMAN;Skp1 PF01466 85-162, Skp1_POZ PF03931 2-67;Q9WTX5;SKP1_MOUSE;Histone modification write cofactor;Histone ubiquitination;BCOR;histone;#;#
RLIM;ring finger protein, LIM domain interacting;RNF12_HUMAN;zf-RING_2 PF13639 568-611;Q9WTV7;RNF12_MOUSE;Histone modification erase cofactor;Histone acetylation;#;histone;#;#
PHF2;PHD finger protein 2;PHF2_HUMAN;JmjC PF02373 236-336, PHD PF00628 7-56, Pfam-B_3847 PB003847 851-988;Q9WTU0;PHF2_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K9me2;H3K9
RUVBL2;RuvB-like AAA ATPase 2;RUVB2_HUMAN;TIP49 PF06068 21-412;Q9WTM5;RUVB2_MOUSE;Chromatin remodeling cofactor;#;Ino80, SWR, NuA4, NuA4-related complex, CHD8, MLL2/3, MLL4/WBP7, SRCAP;chromatin;#;#
ARNTL;aryl hydrocarbon receptor nuclear translocator-like;BMAL1_HUMAN;HLH PF00010 73-126, PAS PF00989 146-253, PAS_11 PF14598 337-444, Pfam-B_2781 PB002781 455-619;Q9WTL8;BMAL1_MOUSE;Histone modification write cofactor, TF;TF activator;#;histone;#;#
CDYL;chromodomain protein, Y-like;CDYL1_HUMAN;Chromo PF00385 61-112, ECH PF00378 345-593, Pfam-B_14969 PB014969 136-234;Q9WTK2;CDYL_MOUSE;Histone modification write;Histone acetylation;#;histone;H4;#
MYO1C;myosin IC;MYO1C_HUMAN;IQ PF00612 735-755 758-777, Myosin_TH1 PF06017 873-1059, Myosin_head PF00063 48-718;Q9WTI7;MYO1C_MOUSE;Chromatin remodeling cofactor;#;B-WICH;chromatin;#;#
NBN;nibrin;NBN_HUMAN;FHA PF00498 24-100, Nbs1_C PF08599 682-746;Q9R207;NBN_MOUSE;Chromatin remodeling;#;#;histone;H2AX;#
FOXO1;forkhead box O1;FOXO1_HUMAN;Fork_head PF00250 127-268, Pfam-B_12765 PB012765 601-653, Pfam-B_39024 PB039024 1-49;Q9R1E0;FOXO1_MOUSE;TF;#;#;histone, DNA;DNA motif, H3, H4;#
TAF7;TAF7 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 55kDa;TAF7_HUMAN;TAFII55_N PF04658 12-178;Q9R1C0;TAF7_MOUSE;Histone modification write cofactor, Histone modification write cofactor;Histone methylation, Histone acetylation;CHD8, MLL2/3, MLL4/WBP7;histone;#;#
MTA2;metastasis associated 1 family, member 2;MTA2_HUMAN;BAH PF01426 4-144, ELM2 PF01448 147-201, GATA PF00320 367-404, Pfam-B_3593 PB003593 571-637;Q9R190;MTA2_MOUSE;Histone modification erase cofactor;Histone acetylation;NuRD;histone;#;#
PRMT2;protein arginine methyltransferase 2;ANM2_HUMAN;PRMT5 PF05185 114-415, SH3_9 PF14604 37-84;Q9R144;ANM2_MOUSE;Histone modification write;Histone methylation;#;histone;H4;H4me
MORF4L2;mortality factor 4 like 2;MO4L2_HUMAN;MRG PF05712 93-276, Pfam-B_26706 PB026706 1-39;Q9R0Q4;MO4L2_MOUSE;Histone modification erase cofactor;Histone acetylation;NuA4;histone;#;#
PRKAB1;protein kinase, AMP-activated, beta 1 non-catalytic subunit;AAKB1_HUMAN;AMPKBI PF04739 149-270;Q9R078;AAKB1_MOUSE;Histone modification write cofactor;Histone phosphorylation;#;histone;#;#
USP21;ubiquitin specific peptidase 21;UBP21_HUMAN;UCH PF00443 211-555;Q9QZL6;UBP21_MOUSE;Histone modification erase;Histone ubiquitination;#;histone;H2Aub;H2A
ING1;inhibitor of growth family, member 1;ING1_HUMAN;ING PF12998 173-256, PHD PF00628 355-402, Pfam-B_837 PB000837 51-89;Q9QXV3;ING1_MOUSE;Histone modification read;#;#;histone;H3K4me3;#
CBX8;chromobox homolog 8;CBX8_HUMAN;Chromo PF00385 11-60;Q9QXV1;CBX8_MOUSE;Histone modification read;#;PRC1;histone;H3K9me3, H3K27me3;#
APBB1;amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65);APBB1_HUMAN;PID PF00640 370-509 543-664, Pfam-B_23321 PB023321 1-215, WW PF00397 255-283;Q9QXJ1;APBB1_MOUSE;Histone modification;#;#;histone;H2AX;#
DPF1;D4, zinc and double PHD fingers family 1;DPF1_HUMAN;PHD PF00628 256-311 310-368, Pfam-B_77905 PB077905 1-37, Requiem_N PF14051 38-111;Q9QX66;DPF1_MOUSE;Chromatin remodeling cofactor;#;nBAF, SWI/SNF BRM-BRG1;chromatin;#;#
PHC2;polyhomeotic homolog 2 (Drosophila);PHC2_HUMAN;Pfam-B_5669 PB005669 651-679, Pfam-B_6832 PB006832 1-198, SAM_1 PF00536 792-856;Q9QWH1;PHC2_MOUSE;Polycomb group (PcG) protein;#;PRC1;#;#;#
CHAF1A;chromatin assembly factor 1, subunit A (p150);CAF1A_HUMAN;CAF-1_p150 PF11600 266-479, CAF1-p150_C2 PF15539 665-956, CAF1-p150_N PF15557 1-229, CAF1A PF12253 557-635;Q9QWF0;CAF1A_MOUSE;Chromatin remodeling;#;CAF-1;histone;H3, H4;#
SFMBT1;Scm-like with four mbt domains 1;SMBT1_HUMAN;DUF3588 PF12140 501-620, MBT PF02820 54-128 167-240 279-356 388-461, Pfam-B_19576 PB019576 672-751, SAM_1 PF00536 794-857;Q9JMD1;SMBT1_MOUSE;Polycomb group (PcG) protein;#;SCL;histone;H4K20;#
CUL3;cullin 3;CUL3_HUMAN;Cullin PF00888 34-666, Cullin_Nedd8 PF10557 695-762;Q9JLV5;CUL3_MOUSE;Histone modification write;Histone ubiquitination;#;histone;MACROH2A;#
ZMYM3;zinc finger, MYM-type 3;ZMYM3_HUMAN;DUF3504 PF12012 1183-1354, Pfam-B_2297 PB002297 1-189, Pfam-B_24258 PB024258 191-229, Pfam-B_5192 PB005192 1100-1142, zf-FCS PF06467 304-343 345-389 402-440 443-488 490-532 538-578 583-623 626-664 671-710 712-751;Q9JLM4;ZMYM3_MOUSE;Histone modification erase cofactor;Histone acetylation;BHC;DNA;#;#
HMGN5;high mobility group nucleosome binding domain 5;HMGN5_HUMAN;HMG14_17 PF01101 2-102;Q9JL35;HMGN5_MOUSE;Chromatin remodeling;#;#;histone;H1;#
NCOA6;nuclear receptor coactivator 6;NCOA6_HUMAN;Nucleic_acid_bd PF13820 45-195, Pfam-B_14375 PB014375 987-1511, Pfam-B_3537 PB003537 407-669;Q9JL19;NCOA6_MOUSE;Histone modification write cofactor;Histone methylation;CHD8, MLL2/3, COMPASS-like MLL3,4;histone;#;#
CHRAC1;chromatin accessibility complex 1;CHRC1_HUMAN;CBFD_NFYB_HMF PF00808 17-80;Q9JKP8;CHRC1_MOUSE;Histone chaperone;#;CHRAC;DNA;#;#
POLE3;polymerase (DNA directed), epsilon 3, accessory subunit;DPOE3_HUMAN;CBFD_NFYB_HMF PF00808 8-73, Pfam-B_35841 PB035841 74-135;Q9JKP7;DPOE3_MOUSE;Histone chaperone;#;CHRAC;histone;#;#
ATR;ATR serine/threonine kinase;ATR_HUMAN;FAT PF02259 1771-2092, FATC PF02260 2612-2644, PI3_PI4_kinase PF00454 2321-2567, Pfam-B_15857 PB015857 1226-1489, Pfam-B_17853 PB017853 1-129, Pfam-B_20071 PB020071 291-659, Pfam-B_21066 PB021066 131-289, Pfam-B_21726 PB021726 661-1009, Pfam-B_22672 PB022672 1011-1079, UME PF08064 1119-1225;Q9JKK8;ATR_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H2AX;#
C14orf169;#;NO66_HUMAN;Cupin_4 PF08007 215-557, Pfam-B_41208 PB041208 71-139, Pfam-B_47541 PB047541 1-69;Q9JJF3;NO66_MOUSE;Histone modification erase;Histone methylation;#;histone;H3K4me3, H3K4me1, H3K36me2;H3K4me2, H3K4, H3K36me1
PBK;PDZ binding kinase;TOPK_HUMAN;Pkinase PF00069 33-318;Q9JJ78;TOPK_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H3S10;H3S10ph
ENY2;enhancer of yellow 2 homolog (Drosophila);ENY2_HUMAN;EnY2 PF10163 11-96;Q9JIX0;ENY2_MOUSE;Histone modification erase cofactor;Histone ubiquitination;SAGA;histone;#;#
DDX21;DEAD (Asp-Glu-Ala-Asp) box helicase 21;DDX21_HUMAN;DEAD PF00270 210-385, GUCT PF08152 620-716, Helicase_C PF00271 458-532, Pfam-B_47445 PB047445 1-39;Q9JIK5;DDX21_MOUSE;RNA modification;#;B-WICH;RNA;#;#
PRMT1;protein arginine methyltransferase 1;ANM1_HUMAN;Methyltransf_31 PF13847 76-216;Q9JIF0;ANM1_MOUSE;Histone modification write;Histone methylation;#;histone;H4R3;H4R3me1, H4R3me2a
DMAP1;DNA methyltransferase 1 associated protein 1;DMAP1_HUMAN;DMAP1 PF05499 243-407;Q9JI44;DMAP1_MOUSE;Chromatin remodeling;#;NuA4, NuA4-related complex, SRCAP;chromatin;#;#
STK4;serine/threonine kinase 4;STK4_HUMAN;Mst1_SARAH PF11629 432-480, Pfam-B_12195 PB012195 341-431, Pkinase PF00069 30-281;Q9JI11;STK4_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H2AS14;H2BS14ph
EXOSC9;exosome component 9;EXOS9_HUMAN;RNase_PH PF01138 31-163, RNase_PH_C PF03725 189-256;Q9JHI7;EXOS9_MOUSE;Scaffold protein, RNA modification;RNA degradation;RNA exosome;RNA;#;#
KAT2A;K(lysine) acetyltransferase 2A;KAT2A_HUMAN;Acetyltransf_1 PF00583 553-628, Bromodomain PF00439 737-820, PCAF_N PF06466 86-337, Pfam-B_10717 PB010717 1-67;Q9JHD2;KAT2A_MOUSE;Histone modification write;Histone acetylation;TFTC-HAT, SAGA, ATAC, STAGA;histone;#;#
KAT2B;K(lysine) acetyltransferase 2B;KAT2B_HUMAN;Acetyltransf_7 PF13508 541-624, Bromodomain PF00439 732-815, PCAF_N PF06466 74-327, Pfam-B_358817 PB358817 339-381;Q9JHD1;KAT2B_MOUSE;Histone modification write;Histone acetylation;#;histone;#;#
GTF2I;general transcription factor IIi;GTF2I_HUMAN;GTF2I PF02946 112-187 361-436 466-541 571-646 733-808 868-943;Q9ESZ8;GTF2I_MOUSE;TF;#;BHC;DNA;DNA motif;#
BRD4;bromodomain containing 4;BRD4_HUMAN;Bromodomain PF00439 67-152 357-445, Pfam-B_14896 PB014896 1187-1263, Pfam-B_15118 PB015118 509-647, Pfam-B_18611 PB018611 648-667, Pfam-B_24632 PB024632 833-892, Pfam-B_29595 PB029595 1283-1311, Pfam-B_35798 PB035798 1136-1185, Pfam-B_361 PB000361 1324-1357;Q9ESU6;BRD4_MOUSE;Histone modification read;#;#;histone;H3K9, H3K14, H4K5, H4K12;#
ANP32B;acidic (leucine-rich) nuclear phosphoprotein 32 family, member B;AN32B_HUMAN;LRR_4 PF12799 88-136, Pfam-B_30686 PB030686 171-249;Q9EST5;AN32B_MOUSE;Histone chaperone;#;#;histone;H3, H4;#
ING2;inhibitor of growth family, member 2;ING2_HUMAN;ING PF12998 26-125, PHD PF00628 214-261;Q9ESK4;ING2_MOUSE;Histone modification read;#;mSin3A-like complex;histone;H3K4me3;#
NEK6;NIMA-related kinase 6;NEK6_HUMAN;Pkinase PF00069 45-306;Q9ES70;NEK6_MOUSE;Histone modification write;Histone phosphorylation;#;histone;H1, H3;H1ph, H3ph
JMJD6;jumonji domain containing 6;JMJD6_HUMAN;JmjC PF02373 174-288, Pfam-B_22969 PB022969 1-39;Q9ERI5;JMJD6_MOUSE;Histone modification erase;Histone methylation;#;histone;H3R2me, H4R3me;H3R2, H4R3
ELP4;elongator acetyltransferase complex subunit 4;ELP4_HUMAN;PAXNEB PF05625 27-424;Q9ER73;ELP4_MOUSE;Histone modification write cofactor;Histone acetylation;Pol2 elongator;histone;#;#
SET;SET nuclear proto-oncogene;SET_HUMAN;NAP PF00956 42-237;Q9EQU5;SET_MOUSE;Histone modification;#;#;histone;#;#
MGEA5;meningioma expressed antigen 5 (hyaluronidase);NCOAT_HUMAN;NAGidase PF07555 62-364, Pfam-B_15148 PB015148 851-895;Q9EQQ9;NCOAT_MOUSE;Histone modification write;Histone acetylation;#;histone;H3K14, H4K8;H3K14ac, H4K8ac
SUV39H2;suppressor of variegation 3-9 homolog 2 (Drosophila);SUV92_HUMAN;Chromo PF00385 47-96, Pre-SET PF05033 144-242, SET PF00856 262-373;Q9EQQ0;SUV92_MOUSE;Histone modification write;Histone methylation;#;histone;H3K9me1;H3K9me3
TAF8;TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa;TAF8_HUMAN;Bromo_TP PF07524 29-106, TAF8_C PF10406 144-194;Q9EQH4;TAF8_MOUSE;Histone chaperone;#;#;histone;#;#
SENP3;SUMO1/sentrin/SMT3 specific peptidase 3;SENP3_HUMAN;Peptidase_C48 PF02902 400-572, Pfam-B_2161 PB002161 1-349;Q9EP97;SENP3_MOUSE;Histone modification erase, Histone modification write cofactor;Histone sumoylation, Histone acetylation;CHD8, MLL2/3, MLL4/WBP7;histone;H3;H3ac
C17orf49;chromosome 17 open reading frame 49;BAP18_HUMAN;#;Q9DCT6;BAP18_MOUSE;Histone modification read;#;CHD8, MLL2/3, MLL4/WBP7;histone;H3K4me3;#
EID1;EP300 interacting inhibitor of differentiation 1;EID1_HUMAN;Pfam-B_5729 PB005729 1-159;Q9DCR4;EID1_MOUSE;Histone modification write cofactor;Histone acetylation;#;histone;#;#
HMGN3;high mobility group nucleosomal binding domain 3;HMGN3_HUMAN;HMG14_17 PF01101 2-98;Q9DCB1;HMGN3_MOUSE;Chromatin remodeling;#;#;histone;H1;#
HMG20A;high mobility group 20A;HM20A_HUMAN;HMG_box PF00505 103-171;Q9DC33;HM20A_MOUSE;Chromatin remodeling cofactor;#;LSD-CoREST;histone;H3K4;#
CBX6;chromobox homolog 6;CBX6_HUMAN;Chromo PF00385 11-60, Pfam-B_41557 PB041557 291-379, Pfam-B_49897 PB049897 381-410;Q9DBY5;CBX6_MOUSE;Histone modification read;#;PRC1;histone;H3K9me3, H3K27me3;#
FOXP4;forkhead box P4;FOXP4_HUMAN;Fork_head PF00250 467-555, Pfam-B_22084 PB022084 1-155, Pfam-B_23482 PB023482 569-647, Pfam-B_4008 PB004008 201-230;Q9DBY0;FOXP4_MOUSE;TF;#;#;histone, DNA;DNA motif;#
NAA60;N(alpha)-acetyltransferase 60, NatF catalytic subunit;NAA60_HUMAN;Acetyltransf_1 PF00583 57-156;Q9DBU2;NAA60_MOUSE;Histone modification write;Histone acetylation;#;histone;H4K20, H4K79, H4K91;H4K20ac, H4K79ac, H4K91ac
PELP1;proline, glutamate and leucine rich protein 1;PELP1_HUMAN;NUC202 PF08166 423-489 569-642, RIX1 PF08167 66-226;Q9DBD5;PELP1_MOUSE;Histone modification read, Histone modification write cofactor;Histone methylation, Histone acetylation;CHD8, MLL2/3, MLL4/WBP7;histone;H1, H3, H4;#
RRP8;ribosomal RNA processing 8, methyltransferase, homolog (yeast);RRP8_HUMAN;Methyltransf_8 PF05148 237-456;Q9DB85;RRP8_MOUSE;Histone modification cofactor;#;eNoSc;histone;H3ac;H3K9me2
MRGBP;MRG/MORF4L binding protein;MRGBP_HUMAN;Eaf7 PF07904 34-114;Q9DAT2;MRGBP_MOUSE;Histone modification write cofactor;Histone acetylation;NuA4;histone;#;#
ASF1B;anti-silencing function 1B histone chaperone;ASF1B_HUMAN;ASF1_hist_chap PF04729 1-154;Q9DAP7;ASF1B_MOUSE;Histone chaperone;#;#;histone;H3, H4;#
EXOSC1;exosome component 1;EXOS1_HUMAN;ECR1_N PF14382 7-41, EXOSC1 PF10447 64-135;Q9DAA6;EXOS1_MOUSE;Scaffold protein, RNA modification;RNA degradation;RNA exosome;RNA;#;#
CIR1;corepressor interacting with RBPJ, 1;CIR1_HUMAN;Cir_N PF10197 13-49, Pfam-B_16354 PB016354 52-448;Q9DA19;CIR1_MOUSE;Histone modification read;#;#;histone;#;#
CCDC101;coiled-coil domain containing 101;SGF29_HUMAN;DUF1325 PF07039 157-289;Q9DA08;SGF29_MOUSE;Histone modification read;#;ATAC;histone;H3K4me, H3K4me3;#
USP12;ubiquitin specific peptidase 12;UBP12_HUMAN;UCH PF00443 38-366;Q9D9M2;UBP12_MOUSE;Histone modification erase;Histone ubiquitination;#;histone;H2Aub;H2A
HCFC2;host cell factor C2;HCFC2_HUMAN;Kelch_1 PF01344 244-301, Kelch_3 PF13415 205-253, Kelch_5 PF13854 312-356;Q9D968;HCFC2_MOUSE;Histone modification write cofactor, Histone modification write cofactor;Histone methylation, Histone acetylation;MLL-HCF, CHD8, MLL2/3, MLL4/WBP7;histone;H3;#
ING5;inhibitor of growth family, member 5;ING5_HUMAN;ING PF12998 5-107, PHD PF00628 188-235;Q9D8Y8;ING5_MOUSE;Histone modification read;#;HBO1, MOZ/MORF;histone;H3K4me3, H3K4me2;#
PHF10;PHD finger protein 10;PHF10_HUMAN;PHD PF00628 379-436 435-481, Pfam-B_1316 PB001316 15-230;Q9D8M7;PHF10_MOUSE;Chromatin remodeling;#;npBAF, SWI/SNF BRM-BRG1;chromatin;#;#
ACTR6;ARP6 actin-related protein 6 homolog (yeast);ARP6_HUMAN;Actin PF00022 1-395;Q9D864;ARP6_MOUSE;Chromatin remodeling cofactor;#;SRCAP;chromatin;#;#
EXOSC8;exosome component 8;EXOS8_HUMAN;RNase_PH PF01138 31-166, RNase_PH_C PF03725 191-258;Q9D753;EXOS8_MOUSE;Scaffold protein, RNA modification;RNA degradation;RNA exosome;RNA;#;#
